"Model","Y_feature","Site_Effect","Complexity","BIC","AIC"
"m1b","B4 Surface Area Percentage","none","smooth_mean",2296.17389409532,2256.67699682832
"m1c","B4 Surface Area Percentage","none","smooth_mean_var",2301.23316081996,2249.32177445229
"m1d","B4 Surface Area Percentage","none","shash_constant",2306.05365521259,2246.06188158941
"m1e","B4 Surface Area Percentage","none","shash_full",2314.68819142515,2236.28284041375
"m2a","B4 Surface Area Percentage","fixed","linear",2963.23236892456,2945.53938107042
"m2b","B4 Surface Area Percentage","fixed","smooth_mean",2250.35642944444,2205.89810824945
"m2c","B4 Surface Area Percentage","fixed","smooth_mean_var",2258.13166585185,2201.61626308995
"m2d","B4 Surface Area Percentage","fixed","shash_constant",2262.08545503943,2198.48095512504
"m2e","B4 Surface Area Percentage","fixed","shash_full",2288.75903180749,2199.49221058575
"m3a","B4 Surface Area Percentage","random","linear",2956.98678791017,2943.70989226914
"m3b","B4 Surface Area Percentage","random","smooth_mean",2250.26314833504,2205.88468490652
"m3c","B4 Surface Area Percentage","random","smooth_mean_var",2255.99080653708,2201.78544718375
"m3d","B4 Surface Area Percentage","random","shash_constant",2260.86512906962,2198.10113356516
"m3e","B4 Surface Area Percentage","random","shash_full",2275.03714025948,2195.25274447479
"m1a","B5 Surface Area Percentage","none","linear",2182.93161237449,2169.66187148389
"m1b","B5 Surface Area Percentage","none","smooth_mean",2165.40420720778,2135.28504132027
"m1c","B5 Surface Area Percentage","none","smooth_mean_var",2171.31981187553,2128.48698297601
"m1d","B5 Surface Area Percentage","none","shash_constant",2183.42466592121,2131.49296064578
"m1e","B5 Surface Area Percentage","none","shash_full",2190.74239157069,2132.95522363317
"m2a","B5 Surface Area Percentage","fixed","linear",2164.74367946499,2147.05069161086
"m2b","B5 Surface Area Percentage","fixed","smooth_mean",2157.11660578991,2123.66136583821
"m2c","B5 Surface Area Percentage","fixed","smooth_mean_var",2170.49820211087,2120.31994879926
"m2d","B5 Surface Area Percentage","fixed","shash_constant",2182.41907477508,2123.37968399317
"m2e","B5 Surface Area Percentage","fixed","shash_full",2202.62311130142,2127.75155972812
"m3a","B5 Surface Area Percentage","random","linear",2164.52745732375,2147.01085478329
"m3b","B5 Surface Area Percentage","random","smooth_mean",2156.86164195466,2123.52949115179
"m3c","B5 Surface Area Percentage","random","smooth_mean_var",2163.90721885527,2118.40167842401
"m3d","B5 Surface Area Percentage","random","shash_constant",2175.87570837189,2121.44459168443
"m3e","B5 Surface Area Percentage","random","shash_full",2184.04229646762,2122.87461022924
"m1a","B6 Surface Area Percentage","none","linear",2330.62036482,2317.3506239294
"m1b","B6 Surface Area Percentage","none","smooth_mean",2281.73979354195,2249.57251731303
"m1c","B6 Surface Area Percentage","none","smooth_mean_var",2269.1780878568,2215.88126718936
"m1d","B6 Surface Area Percentage","none","shash_constant",2231.64918671732,2163.54945820786
"m1e","B6 Surface Area Percentage","none","shash_full",2213.16320480971,2134.82273602773
"m2a","B6 Surface Area Percentage","fixed","linear",2232.52581285429,2214.83282500015
"m2b","B6 Surface Area Percentage","fixed","smooth_mean",2084.40068065593,2042.3940661879
"m2c","B6 Surface Area Percentage","fixed","smooth_mean_var",2083.4091936556,2012.23182798433
"m2d","B6 Surface Area Percentage","fixed","shash_constant",2040.46943698599,1959.25536213571
"m2e","B6 Surface Area Percentage","fixed","shash_full",2022.12776413494,1922.2591789596
"m3a","B6 Surface Area Percentage","random","linear",2232.4781523395,2214.82404545039
"m3b","B6 Surface Area Percentage","random","smooth_mean",2084.3842634972,2042.39700014234
"m3c","B6 Surface Area Percentage","random","smooth_mean_var",2082.91461944058,2012.34246187339
"m3d","B6 Surface Area Percentage","random","shash_constant",2040.0811406842,1959.3138404904
"m3e","B6 Surface Area Percentage","random","shash_full",2035.30559680996,1911.2407450044
"m1a","B4 Band Power","none","linear",5769.17641817677,5755.90667728617
"m1b","B4 Band Power","none","smooth_mean",5543.48718045206,5505.71338045869
"m1c","B4 Band Power","none","smooth_mean_var",5260.47482267258,5188.7965153757
"m1d","B4 Band Power","none","shash_constant",5196.21460820704,5123.87485315186
"m1e","B4 Band Power","none","shash_full",5207.81301452339,5118.19146933739
"m2a","B4 Band Power","fixed","linear",5775.52715651325,5757.83416865911
"m2b","B4 Band Power","fixed","smooth_mean",5549.29855121737,5507.02848311558
"m2c","B4 Band Power","fixed","smooth_mean_var",5196.58091912306,5119.9524124021
"m2d","B4 Band Power","fixed","shash_constant",5169.16711773235,5087.85208937161
"m2e","B4 Band Power","fixed","shash_full",5181.99864320759,5083.38152078743
"m3a","B4 Band Power","random","linear",5769.17776637782,5755.90707562779
