"Model","Y_feature","Site_Effect","Complexity","BIC","AIC","LogScore","LogScore_Censored","W_statistic","Skewness","Kurtosis","Mean_Z","SD_Z","norm_BIC","norm_AIC","norm_LogScore","norm_W","norm_Skew","norm_Kurt","norm_MeanZ","norm_SDZ","composite_score"
"m3a","Hull Area","random","linear",9939.05627165357,9925.74981983141,-7.97236469310628,-7.84151673502539,0.984746206778277,0.0395076522882225,1.25966391113041,0.00388898907538793,0.918974053983314,0.0799011615776698,0.00873475575989324,0.000107991376527919,0.337787164483468,0.911843992064446,0.459611644549341,0.923087601908096,0.037459595631739,0.289624284461505
"m3b","Hull Area","random","smooth_mean",9945.38109304796,9924.22709864236,-7.96723107961893,-7.81271804960388,0.984585058046878,0.018188002917473,1.21612626342526,-0.00347367384752919,0.917863598006318,0.0379485277692804,0.0176510152843268,0.0345198879222276,0.328653054446267,0.988578490386347,0.479352517339399,0.931301276341088,0.0242680341915212,0.298552768230044
"m3c","Hull Area","random","smooth_mean_var",9800.34124258569,9761.8433713207,-7.83575699265103,-7.71504791036629,0.994342311009307,0.123700591665292,0.502440142119209,-0.0410964807563419,0.933276668702425,1,0.968485262391333,0.915823610987683,0.881706258439554,0.60881354100039,0.802952612322674,0.187236367386103,0.20736621483273,0.777126309123299
"m3d","Hull Area","random","shash_constant",9804.96302491774,9757.88053833029,-7.83555162768189,-7.72073885530635,0.995292262141046,0.136233685994131,-0.0678605854222615,-0.0402657201166582,0.944656161279541,0.969343649468016,0.991689541446831,0.917200223794595,0.935550667216085,0.563703948013183,1,0.203666290895742,0.342547868675152,0.812457136536157
"m3e","Hull Area","random","shash_full",9822.05238327104,9756.46127599333,-7.82678472962867,-7.71755809498095,0.996429310871063,0.0990999569650912,-0.231407644000257,-0.0484768590774165,0.938348656675664,0.855989682879743,1,0.975966936477113,1,0.697357087345493,0.925844370360988,0.0412748888384367,0.267618437666476,0.809078984985901
"m1a","B4 Surface Area","none","linear",8969.23777556638,8955.96803467578,-7.24446621657112,-7.06943774062602,0.991734775179969,0.0568736026813544,0.531941897616178,0.0498009037363787,0.980317983406903,0,0,0,0.776774166546619,1,0.482209733998871,0.142102914184483,0.620993163432906,0.360808012530515
"m1b","B4 Surface Area","none","smooth_mean",8809.40717644465,8773.38050508376,-7.0869776210219,-6.95770169454756,0.991935344668326,0.0910734184834849,0.586883280861533,0.0334474907750049,0.980065412482074,0.408977611155291,0.413269686014826,0.455985641313904,0.789333784069912,0.92968978226764,0.422191795320141,0.423815579419752,0.616129530340457,0.564921536342333
"m1c","B4 Surface Area","none","smooth_mean_var",8692.58370071418,8642.13078593073,-6.97348012597713,-6.81913352843198,0.995299556601112,-0.156663541485793,0.525082168278192,0.0266312310706303,1.00242659627813,0.707907767793922,0.710341070600099,0.78460136034439,1,0.794845318307186,0.489703298784478,0.541236125992546,0.953272238408566,0.774683533337226
"m1d","B4 Surface Area","none","shash_constant",8671.98663736224,8612.99247081272,-6.98910868428118,-6.81834015531932,0.989557367544204,0.349139197130642,0.0947441029134319,0.0311444406753723,1.03624671600219,0.760611929655154,0.776292904039807,0.739351111231215,0.640425376301344,0.399141278996975,0.959804379109379,0.463489156016289,0.30201495853054,0.660983751760413
"m1e","B4 Surface Area","none","shash_full",8684.78014031719,8616.62484185721,-6.99025483340928,-6.81969137487268,0.989573212596265,0.336518280117957,0.0908794549831809,0.0317147275765974,1.0371903043793,0.727875668228531,0.768071374100714,0.736032600812131,0.641417589998213,0.425088185503082,0.964026118512205,0.453665087898375,0.283844744917667,0.655703193669152
